top_words,strongcompnum,id,weighted degree,eigencentrality,modularity_class,componentnumber,label,weighted outdegree,clustering,weighted indegree,timeset,pageranks
king.they.lady.colors.lie.at.young.it.new.mother.,7,41,25.0,0.23386305739664692,0,0,lady macduff,0.0,0.5,25.0,,0.01230794400391396
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,11,42,2.0,0.21754284648979966,2,0,forres,0.0,0.5,2.0,,0.0033682012342678997
king.they.lady.colors.lie.at.young.it.new.mother.,22,43,4.0,0.08638029217584701,0,0,colme,1.0,0.25,3.0,,0.007335674584434395
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,10,44,6.0,0.21224046380450484,2,0,second apparition,0.0,0.5,6.0,,0.005561367838802786
lady.my.ay.king.they.tonight.done.scene.further.known.,6,45,27.0,0.5008988249070193,1,0,servant,3.0,0.3333333432674408,24.0,,0.013037087742960588
king.they.lady.colors.lie.at.young.it.new.mother.,5,46,29.0,0.5416573448183979,0,0,angus,3.0,0.34583333134651184,26.0,,0.014610286838407972
cauldron.bubble.hail.witches.etc.show.sister.hate.cat.heath.,4,47,13.0,0.24533861825835623,3,0,hecate,1.0,0.4333333373069763,12.0,,0.0075225576351720435
king.they.lady.colors.lie.at.young.it.new.mother.,0,48,81.0,1.0,0,0,duncan,0.0,0.261904776096344,81.0,,0.03500896786192089
king.they.lady.colors.lie.at.young.it.new.mother.,3,49,9.0,0.2252485330223035,0,0,norweyan,0.0,0.3333333432674408,9.0,,0.006917320511343451
light.affair.watch.yours.about.weighty.direction.reasons.beggared.sundry.,19,50,14.0,0.04409839748844411,4,0,first murderer,0.0,0.5,14.0,,0.009089975812078991
king.they.lady.colors.lie.at.young.it.new.mother.,2,51,11.0,0.3369895049147794,0,0,caithness,0.0,0.4027777910232544,11.0,,0.007377560825773347
light.affair.watch.yours.about.weighty.direction.reasons.beggared.sundry.,1,52,8.0,0.0725979069385779,4,0,third murderer,0.0,0.5,8.0,,0.006055726871658427
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,9,53,2.0,0.18369213398238765,2,0,shoughs,0.0,0.5,2.0,,0.003364843342499829
king.they.lady.colors.lie.at.young.it.new.mother.,21,54,2.0,0.024687744180529415,0,0,colmekill,0.0,0.5,2.0,,0.004576803869214597
thunder.old.till.mankind.until.patient.thought.bane.forest.never.,8,55,14.0,0.1805923139122646,2,0,gentlewoman,0.0,0.5,14.0,,0.008192788288642025
lady.my.ay.king.they.tonight.done.scene.further.known.,40,56,2.0,0.0215688176642364,1,0,macdonwald,0.0,0.5,2.0,,0.0035925941556122255
